threshold,accuracy,precision,recall,f1,false_positive_rate,pred_methyl_rate,tp,tn,fp,fn,input_mode,task
0.4,0.8531561461794019,0.9903846153846154,0.3188854489164087,0.4824355971896956,0.0008460236886632825,0.0691029900332226,103,1181,1,220,selected_positions_as_X,known_sequence_methylation
0.5,0.8471760797342193,0.9894736842105263,0.29102167182662536,0.4497607655502392,0.0008460236886632825,0.06312292358803986,94,1181,1,229,selected_positions_as_X,known_sequence_methylation
0.6,0.8465116279069768,0.9893617021276596,0.28792569659442724,0.4460431654676259,0.0008460236886632825,0.06245847176079734,93,1181,1,230,selected_positions_as_X,known_sequence_methylation
0.7,0.8445182724252491,0.989010989010989,0.2786377708978328,0.4347826086956521,0.0008460236886632825,0.06046511627906977,90,1181,1,233,selected_positions_as_X,known_sequence_methylation
0.8,0.8418604651162791,0.9885057471264368,0.26625386996904027,0.4195121951219512,0.0008460236886632825,0.05780730897009967,86,1181,1,237,selected_positions_as_X,known_sequence_methylation
0.9,0.840531561461794,1.0,0.25696594427244585,0.4088669950738916,0.0,0.05514950166112957,83,1182,0,240,selected_positions_as_X,known_sequence_methylation
0.95,0.8365448504983388,1.0,0.23839009287925697,0.38499999999999995,0.0,0.05116279069767442,77,1182,0,246,selected_positions_as_X,known_sequence_methylation
0.98,0.8159468438538205,1.0,0.14241486068111456,0.24932249322493225,0.0,0.030564784053156147,46,1182,0,277,selected_positions_as_X,known_sequence_methylation
0.99,0.8006644518272426,1.0,0.07120743034055728,0.13294797687861273,0.0,0.015282392026578074,23,1182,0,300,selected_positions_as_X,known_sequence_methylation
0.3,0.8039867109634552,0.9117647058823529,0.09597523219814241,0.17366946778711484,0.0025380710659898475,0.022591362126245847,31,1179,3,292,selected_positions_as_X,end_to_end_methylation
0.4,0.8026578073089701,0.9333333333333333,0.08668730650154799,0.1586402266288952,0.001692047377326565,0.019933554817275746,28,1180,2,295,selected_positions_as_X,end_to_end_methylation
0.5,0.7993355481727574,0.92,0.07120743034055728,0.132183908045977,0.001692047377326565,0.016611295681063124,23,1180,2,300,selected_positions_as_X,end_to_end_methylation
0.6,0.7966777408637874,0.9047619047619048,0.058823529411764705,0.11046511627906976,0.001692047377326565,0.013953488372093023,19,1180,2,304,selected_positions_as_X,end_to_end_methylation
